Philosophical Issues in the Life Sciences,Gertrudis Van de Vijver,5,A005268
Filosofie van de moderne en hedendaagse kunst,Bart Vandenabeele,5,A005269
Historiografie van de kunstwetenschappen: inleiding,Francis Maes,5,A005279
Geschiedenis van het moderne theater,Christel Stalpaert,6,A005282
Cultuurhistorische aspecten van danstheater,Annelies Van Assche,5,A005286
Grondslagen van muzikale akoestiek en sonologie,Pieter-Jan Maes,5,A005289
Historisch interieur en design,Marjan Sterckx,5,A005291
Media-archeologie van beeldstrategieën,Tessa Vannieuwenhuyze,5,A005295
Inleiding tot de Afrikaanse taalkunde,Sara Pacchiarotti,5,A005296
Swahili I,Koen Bostoen,5,A005297
Swahili II,Koen Bostoen,5,A005299
Swahili III,Maud Devos,5,A005300
Swahili IV,Maud Devos,5,A005301
Afrikaanse historische taalkunde,Koen Bostoen,5,A005309
Muzikale analyse,Francis Maes,5,A005310
Antropologie en etnografie in Afrika,Koenraad Stroeken,5,A005313
Introduction to the Geography and Archeology of Africa,Peter Coutros,5,A005315
Veldwerk in Afrika,Nick Rahier,5,A005316
Overzicht van de Beeldende Kunsten: 1300-1789,Maximiliaan Martens,6,A005319
Overzicht van de Beeldende Kunsten: 1789 tot heden,Marjan Sterckx,6,A005320
Bachelorproef,Marjan Sterckx,10,A005321
Onderzoekstaak,Marjan Sterckx,10,A005322
"Taal, cultuur en samenleving in Afrika",Michael Meeuwis,5,A005325
Inleiding tot de literaturen van Afrika,Martina Vitackova,5,A005326
"Afrika: actualiteit, discours en beeldvorming",Inge Brinkman,5,A005327
Bachelorproef,Gilles-Maurice de Schryver,10,A005329
African Archaeology,Peter Coutros,5,A005330
Muziekgeschiedenis: tot 1750,Francis Maes,6,A005331
Muziekgeschiedenis: 1750-1900,Francis Maes,5,A005332
Onderzoekstaak,Gilles-Maurice de Schryver,5,A005333
Bungo I,Christian Uhl,5,A005334
Bungo II,Christian Uhl,5,A005335
Bungo III,Christian Uhl,5,A005336
Bungo IV,Christian Uhl,5,A005337
Bungo V,Christian Uhl,5,A005338
Bungo VI,Christian Uhl,5,A005339
Talen en Literaturen van Zuid-Afrika,Yves T'Sjoen,5,A005340
Latijnse traditie in Europa,Wim Verbaal,5,A005349
Historische cultuur en maatschappij,Berber Bevernage,5,A005353
Literatuur en kritiek,Jurgen Pieters,5,A005366
"Geschiedenis van de wetenschappen, Oudheid tot Renaissance",Steven Vanden Broecke,5,A005372
"Geboorte, huwelijk en dood: levenslopen van de Oudheid tot vandaag",Koenraad Verboven,5,A005374
Literatuur en interdisciplinariteit,Bart Keunen,5,A005377
Anthropology of Affect and Materiality,Koenraad Stroeken,5,A005381
Russia between East and West,Ben Dhooge,5,A005385
Research Project,Maaheen Ahmed,5,A005387
Masterproef,Miriam Taverniers,15,A005390
Literatuur en Onderwijs,Youri Desplenter,5,A005393
"Taal, Diversiteit en Globalisering",Stef Slembrouck,5,A005394
Computer Assisted Language Learning,Orphée De Clercq,5,A005395
Masterproef,Gilles-Maurice de Schryver,24,A005400
Masterproef,Tom Claes,24,A005403
Masterproef,Tom Claes,24,A005404
Masterproef: voortgangsrapportage,Koen Aerts,6,A005405
Masterproef: afwerking,Koen Aerts,24,A005406
Masterproef I,Miriam Taverniers,5,A005407
Masterproef II,Miriam Taverniers,19,A005408
Masterproef,Aleksey Yudin,24,A005411
Masterproef,Edith Van Dyck,24,A005412
Masterproef I,June Eyckmans,5,A005415
Master's Dissertation,Arda Tezcan,18,A005419
Intensive Course I: Theoretical Descriptive Paper,Ulrike Vogl,6,A005422
Intensive Course II: Personal Data-based Research,Ulrike Vogl,6,A005423
Intensive Course III: Project Proposal ,Ulrike Vogl,6,A005424
"Lusofone taal, geschiedenis en cultuur",Renata Enghels,5,A005429
Portugese taal- en letterkunde,Renata Enghels,5,A005430
Onderzoeksstage,Youri Desplenter,10,A005431
Archeometrie en fysische antropologie,Peter Vandenabeele,5,A005432
Archeologische wetgeving en beleid,Guy De Mulder,5,A005433
Archeologisch projectmanagement,Guy De Mulder,3,A005434
Archaeometry,Peter Vandenabeele,5,A005435
